---Input Wind file---
---6 Lines description followed by time[s], speed[m/s]. Starts at time 0:---
#Wind profile
#of the arcade game
#
#
#
#
0,  2
3,  2.5
6,  3
9,  1.5
12, 2
15, 3
18, 2
21, 3
24, 1.5
27, 2.5
30, 1.5
33, 2
36, 2.5
39, 3.5
42, 2.5
45, 3
48, 2
51, 3
54, 2
57, 2.5
60, 3
63, 2.5
66, 3
69, 3.5
72, 3
75, 3.5
78, 2.5
81, 3.5
84, 1
87, 2.5
90, 2
93, 3
96, 3.5
99, 3
102, 3.5
105, 2.5
108, 2
111, 3
114, 2
117, 2.5
120, 3
123, 2.5
126, 3
129, 3.5
132, 3
135, 3.5
138, 2.5
141, 3.5
144, 2
147, 2.5
150, 2
153, 3
156, 3.5
159, 3
162, 3.5
165, 2.5
168, 2
171, 3
174, 2
177, 2.5
180, 3
183, 3
186, 3.5
189, 3
192, 3.5
195, 2.5
198, 2
201, 3
204, 2
207, 2.5
210, 3
